title,abstract,authors,keywords,year,journal,doi,url,volume,number,pages,issn,source
Explainable Generative AI: A Two-Stage Review of Existing Techniques and Future Research Directions.,"Generative Artificial Intelligence (GenAI) models produce increasingly sophisticated outputs, yet their underlying mechanisms remain opaque. To clarify how explainability is conceptualized and implemented in GenAI research, this two-stage review systematically examined 261 articles retrieved from six major databases. After removing duplicates and applying predefined inclusion criteria, 63 articles were retained for full analysis. In the first stage, an umbrella review synthesized insights from 18 review papers to identify prevailing frameworks, strategies, and conceptual challenges surrounding explainability in GenAI. In the second stage, an empirical review analyzed 45 primary studies to assess how explainability is operationalized, evaluated, and applied in practice. Across both stages, findings reveal fragmented approaches, a lack of standardized evaluation frameworks, and persistent challenges, including limited generalizability, interpretability–performance trade-offs, and high c","Kumarage, Prabha M. and Saarela, Mirka",Generative artificial intelligence; Artificial intelligence; Design; Evaluation methodology; Evaluation research; User-centered system design,2026,AI,,https://research.ebsco.com/plink/80da54fb-844a-3ee0-b82c-d627d320c073,7,1,31-null,2673-2688,academicsearchultimate
Evaluating generative AI tools for visual communication design using the CoCoSo method under interval valued spherical fuzzy environment.,"At the age of intelligent design, generative AI tools are leading to a revolution in visual communication as the creative process is shifting to being fully automated, ideation is augmented, and production pipelines are fast-tracked. This paper will present a robust multi-criteria decision-making (MCDM) approach to analyze the comparative efficiency of prevalent tools of generative AI based on the combined compromise solution (CoCoSo) approach in an interval-valued (IVSF) spherical fuzzy framework. The IVSF framework is used to faithfully reflect the differences in how much or how little an expert would like to assign a particular degree of membership, non-membership, or abstinence, for the interval-valued membership, non-membership, and abstinence of degrees. These IVSF values are summed up, defuzzified, and then combined in the CoCoSo algorithm to provide an overall rating of the alternatives. One of the key features of this writing is the creation of a practical case study based on","Sun, Huiying and Liu, Shunli",Generative artificial intelligence; Multiple criteria decision making; Visual communication; Fuzzy sets; Creative ability; Design software,2025,Scientific Reports,,https://research.ebsco.com/plink/5bf61c1d-fd99-32a7-bebc-b75e0d5c66dd,15,1,1-19,2045-2322,academicsearchultimate
Critical Information Literacy as a Compass: Using Generative AI in Academic Research and Writing.,"Generative artificial intelligence has become a prevalent topic in our everyday lives, including academic research. This paper explores the use of these tools in scientific research and writing, introducing the concept of generative artificial intelligence and its essential characteristics and assessing the potential and limitations of these tools in academic research. To explore their potential, a categorization of their use into six domains based on the works of Khalifa and Albadawy is provided. Two perspectives will be considered when evaluating their limitations: those related to their algorithmic construction and those related to the results they produce. In the final stage of this paper, the authors conclude that the use of these tools in research should be guided by critical information literacy principles. The work proposes a framework for utilizing generative artificial intelligence tools based on the critical information literacy perspective in seven levels proposed by Schne","Araujo, Gabriel Cunha Leal de and Schneider, Marco André Feldman",Generative artificial intelligence; Information literacy; Academic discourse; University research; Critical thinking; Research methodology; Ethics,2025,Library Trends,,https://research.ebsco.com/plink/4b9285ef-5cd0-3fb3-943b-7fe30bd14aca,73,4,493-515,0024-2594,academicsearchultimate
Desafíos y oportunidades del uso de la Inteligencia Artificial Generativa (IAG) en la enseñanza universitaria en Literatura Hispánica.,This article focuses on the integration of Generative Artificial Intelligence (GAI) into the teaching of Hispanic literature at the university level. We explore both its academic application and its impact on the interaction between professor and student. We identify the inherent challenges of this process and examine the opportunities that this technology offers in the context of university education.,"Abidi, Yakoub",Generative artificial intelligence; College teachers; College teaching,2024,Fuentes Humanísticas,,https://research.ebsco.com/plink/9063584e-94be-365c-9272-183a9511de3f,36,69,113-128,0188-8900,academicsearchultimate
UNDERSTANDING THE PERCEPTIONS OF HIGHER EDUCATION STUDENTS ABOUT PERSONALIZED LEARNING THROUGH GENERATIVE ARTIFICIAL INTELLIGENCE.,"This qualitative phenomenological research study aims to understand the perceptions of higher education students about personalized learning through Generative Artificial Intelligence (GAI). For the nuanced and comprehensive insights 15 participants were selected through purposive sampling from three renowned universities in Lahore: FAST, University of Lahore, and Lahore College for Women University. Researcher collected data over semi-structured interviews with 5 participants. Findings of study vindicate that widespread adoption of GAI tools among Higher Education students is due to perceived ease of use and usefulness in the personalized learning. The participants from diverse academic background reveal that GAI is playing an instrumental role in enhancing their personalized learning experience. Benefits reported by the participants include assistance in writing and research,ideas generation,easy accessibility of information,project and assignment assistance,and enhanced learning ex","Zaman, Sumavia and Malik, Shazia",Generative artificial intelligence; Higher education; Individualized instruction; Psychology of students; Moral reasoning; Data privacy; Qualitative research,2026,Gomal University Journal of Research,,https://research.ebsco.com/plink/ae26c429-4f8f-3ee3-b946-2e6e83c93896,42,1,124-124,1019-8180,academicsearchultimate
Are simpler math stories better? Automatic readability assessment of GAI‐generated multimodal mathematical stories validated by engagement.,"Mathematical stories can enhance students' motivation and interest in learning mathematics, thereby positively impacting their academic performance. However, due to resource constraints faced by the creators, generative artificial intelligence (GAI) is employed to create mathematical stories accompanied by images. This study introduces a method for automatically assessing the quality of these multimodal stories by evaluating text‐image coherence and textual readability. Using GAI‐generated stories for grades 3 to 5 from the US math story learning platform Read Solve Create (RSC), we extracted features related to multimodal semantics and text readability. We then analysed the correlation between these features and student engagement levels, measured by average reading time per story (behavioural engagement) and average drawing tool usage per story (cognitive engagement), derived from browsing logs and interaction metrics on the platform. Our findings reveal that textual features such a","Li, Hai and Xing, Wanli and Li, Chenglu and Zhu, Wangda and Oh, Hyunju",Generative artificial intelligence; Student engagement; Artificial intelligence; Student interests; Mathematics education,2025,British Journal of Educational Technology,,https://research.ebsco.com/plink/571f8123-a31b-3328-bf10-dfe57641933c,56,3,1092-1117,0007-1013,academicsearchultimate
Evaluating Use of Generative Artificial Intelligence in Clinical Pathology Practice: Opportunities and the Way Forward.,"* Context.--Generative artificial intelligence (GAI) technologies are likely to dramatically impact health care workflows in clinical pathology (CP). Applications in CP include education, data mining, decision support, result summaries, and patient trend assessments. Objective.--To review use cases of GAI in CP, with a particular focus on large language models. Specific examples are provided for the applications of GAI in the subspecialties of clinical chemistry, microbiology, hematopathology, and molecular diagnostics. Additionally, the review addresses potential pitfalls of GAI paradigms. Data Sources.--Current literature on GAI in health care was reviewed broadly. The use case scenarios for each CP subspecialty review common data sources generated in each subspecialty. The potential for utilization of CP data in the GAI context was subsequently assessed, focusing on issues such as future reporting paradigms, impact on quality metrics, and potential for translational research activi","McCaffrey, Peter and Jackups, Ronald and Seheult, Jansen and Zaydman, Mark A. and Balis, Ulysses and Thaker, Harshwardhan M. and Rashidi, Hooman and Gullapalli, Rama R.",Generative artificial intelligence; Data mining; Clinical decision support systems; Natural language processing; Clinical pathology; Microbiology; Molecular diagnosis,2025,Archives of Pathology & Laboratory Medicine,,https://research.ebsco.com/plink/73326417-b804-3453-bb04-3e1bb36b8526,149,2,130-141,0003-9985,academicsearchultimate
Generative Artificial Intelligence (GAI) Assisted Learning: Pushing the Boundaries of Engineering Education.,"Generative artificial intelligence (GAI) has long been used across various fields; however, its usage in engineering education has been limited. Some areas where GAI tools have been implemented in education include intelligent tutoring, assessment, predicting, curriculum design, and personalized student learning. The recent proliferation of CHATGPT and other GAI tools presents limitless possibilities for transforming engineering pedagogy and assessment. At the same time, there are challenges associated with implementation. Consequently, there is a need to conduct an empirical study to evaluate these tools' strengths, limitations, and challenges to highlight potential opportunities for their application in engineering education broadly and pedagogy specifically. This study presents an overview of ongoing efforts to integrate GAI as a pedagogical tool at a Land Grant R1 University on the East Coast of the United States. Also, we are hoping to collect a within-case study of instructors w","Osunbunmi, Ibukun Samuel and Cutler, Stephanie and Dansu, Viyon and Brijmohan, Yashin and Bamidele, Bolaji Ruth and Udosen, Abasiafak Ndifreke and Arinze, Lexy Chiwete and Oje, Adurangba Victor and Moyaki, Deborah and Hicks, Melissa J. and Bono Po-Jen Shih",Generative artificial intelligence; Engineering education; Case method (Teaching); Educational evaluation; Individualized instruction; Ethical problems; Instructional systems design; Curriculum planning,2024,Proceedings of the ASEE Annual Conference & Exposition,,https://research.ebsco.com/plink/838fc610-5307-36bc-ba7a-95b6a7030f6e,null,null,1-12,2153-5868,academicsearchultimate
生成式人工智能辅助医学研究生开题设计 路径与反思.,"In recent years, artificial intelligence (AI) technology has advanced rapidly, with the rise of largescale language models being particularly remarkable. Generative AI technologies, represented by ChatGPT, are gradually penetrating and being widely applied across multiple fields, demonstrating immense potential to drive social development. Although their application in academic research remains controversial, their longterm potential is undeniable. Based on the application cases and the practical research data of generative AI in proposal design of medical graduates at home and abroad, this paper conducts an in-depth analysis of the value of generative AI in key stages including topic selection, literature review, and research design, while candidly addressing potential challenges and limitations, so as to provide references for improving research of medical graduates.",李海琛 and 王臻 and 马婷 and 雷凤萍 and 赵好 and 崔巍,Generative artificial intelligence; Artificial intelligence; Language models; ChatGPT; Social development,2025,Medical Education Research & Practice,,https://research.ebsco.com/plink/ec73a8bc-f27b-37d6-998e-1fcace286bd6,33,4,492-500,2096-3181,academicsearchultimate
Generative Artificial Intelligence: A Threat to the Graphic Design Industry?,"Generative Artificial intelligence (GAI) captured widespread public and media attention for its ability to create text, images, video, or audio. What are the implications of using AI to generate media? How will AI generated media impact the creative arts, artistic expression, and those employed by such endeavours? The purpose of this phenomenological research study was to explore perceptions of media created via GAI, with qualitative interviews (N = 25) conducted to investigate the impact of such media. Respondents indicated they were familiar with GAI and were using it for entertainment purposes. The majority reported that GAI artwork is visually appealing and interesting, but the majority also noted that they did not identify AI as a form of life. When asked if GAI could replace graphic designers and other artists the responses were split almost evenly, at times suggesting that GAI could replace creative professionals. The findings from this study provide great insight into the uses","Weiland, Scott J. and Miscavage, Jake",Generative artificial intelligence; Language models; Graphic designers; Artificial intelligence; Art; Graphic design,2025,Journal of Applied Professional Studies,,https://research.ebsco.com/plink/d2f96ad3-8ee9-3a05-998b-944056230951,6,12,1-9,2694-2577,academicsearchultimate
Proje Önerisi Hazırlama Sürecinde Üretken Yapay Zekâ Araçlarının Kullanımı: Öğrenci Görüşleri ve Deneyimleri.,"This study aims to examine university students' perspectives and experiences with the use of various generative artificial intelligence tools during the project development and project proposal process Designed using a qualitative research methodology, the study was conducted with 24 university students. A six-module training program based on the constructivist learning approach was implemented as part of the study. Following each module, semistructured interviews were conducted. Findings indicate that participants effectively utilized generative AI tools at various stages of project development, including idea generation, method formulation, literature review, risk analysis, and text editing. These tools were found to foster original thinking, enhance time efficiency, and contribute creatively to the process. However, students also highlighted the importance of critically engaging with AI, ensuring ethical use, and maintaining human-AI collaboration.","POLAT, Ebru",Generative artificial intelligence; Student attitudes; Constructivism (Education); Creative thinking; Qualitative research; Artificial intelligence & ethics; Human-artificial intelligence interaction,2026,Journal of Social Sciences Eskisehir Osmangazi University / Eskisehir Osmangazi Üniversitesi Sosyal Bilimler Dergisi,,https://research.ebsco.com/plink/feb6733a-b313-3fcb-aebb-150f879486d2,27,1,501-532,1302-9703,academicsearchultimate
"Generative AI for non-terrestrial networks: design, applications, and challenges.","Non-terrestrial networks (NTNs) have been identified as a fundamental component of future sixth generation (6 G) mobile networks, providing extended coverage to underserved and isolated regions and enhancing connectivity to fast mobility users (e.g., airplanes, vessels). Artificial intelligence (AI) techniques are set to revolutionize the way we orchestrate and optimize 6 G wireless networks and are especially appealing to anticipate and adapt to the complex NTN environments. In this context, generative AI (GAI) technologies have demonstrated remarkable potential in data generation and decision-making optimization, offering innovative solutions for dynamic and demand-driven network operations. This article investigates the role of GAI in 6 G-NTNs, emphasizing its transformative impact on resource allocation, beamforming, and security. We begin with the motivation and recent advances in GAI, exploring its applications in NTNs, including channel modeling, channel state information (CSI)","Adam, Abuzar B. M. and Lagunas, Eva and Samy, Mostafa and Saifaldawla, Almoatssimbillah and Chatzinotas, Symeon",Generative artificial intelligence; 6G networks; Resource allocation; Internet security; Wireless communications; Computational intelligence; Beamforming; Wired Telecommunications Carriers; Internet Publishing and Broadcasting and Web Search Portals; Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing; Wireless Telecommunications Carriers (except Satellite),2025,EURASIP Journal on Wireless Communications & Networking,,https://research.ebsco.com/plink/5ed8e1d6-2f5d-36cd-8132-5c14c0c458ef,2026,1,1-23,1687-1472,academicsearchultimate
Generative AI in Research Group Formation: Academic Perceptions and Institutional Pathways.,"Objective: This study provides timely insights into how faculty perceive the role of generative AI in academic collaboration and offers a case study on aligning institutional policy with emerging technological opportunities in higher education. It investigates how generative artificial intelligence (AI) tools are perceived and utilized in the formation of academic research groups, focusing on faculty at the University of Jordan. Design/Methodology: A descriptive cross-sectional study involving a mixed-methods survey of 100 faculty members primarily principal investigators (PI) was conducted, gathering quantitative data on AI familiarity, usage across research group (RG) planning tasks, perceived benefits and risks, and qualitative feedback on recommended institutional actions. Findings: The results indicate moderate adoption of generative AI in RG formation, especially for creative and writing tasks, with younger and junior faculty significantly tending to be more optimistic about AI'","Sawair, Faleh and Ghazzawi, Hadeel",Generative artificial intelligence; College teacher attitudes; Academic-industrial collaboration; Higher education; Institutional economics; Research teams; Education ethics; Data privacy; University of Jordan; All Other Miscellaneous Schools and Instruction; Educational Support Services; Administration of Education Programs,2025,Information,,https://research.ebsco.com/plink/118d42a1-d811-3c30-bcd5-9b2caf3f1ca2,16,12,1081-null,2078-2489,academicsearchultimate
Exploring How AI Literacy and Self-Regulated Learning Relate to Student Writing Performance and Well-Being in Generative AI-Supported Higher Education.,"The integration of generative artificial intelligence (GAI) into higher education is transforming students' learning processes, academic performance, and psychological well-being. Despite the increasing adoption of GAI tools, the mechanisms through which students' AI literacy and self-regulated learning (SRL) relate to their academic and emotional experiences remain underexplored. This study investigates how AI literacy and SRL are associated with writing performance and digital well-being among university students in GAI-supported higher learning contexts. A survey was administered to 257 students from universities in China, and structural equation modeling was used to examine the hypothesized relationships. Results show that both AI literacy and SRL significantly and positively predict students' writing performance, with SRL having a stronger effect. Moreover, AI literacy shows a positive association with GAI-driven well-being, with writing performance serving as a partial mediator","Shi, Jiajia and Liu, Weitong and Hu, Ke",Generative artificial intelligence; Self-regulated learning; Psychological well-being; Learning; Structural equation modeling,2025,Behavioral Sciences (2076-328X),,https://research.ebsco.com/plink/8d05819e-93ad-3d00-b0c6-22f25f9e8dc3,15,5,705-null,2076-328X,academicsearchultimate
Generative Artificial Intelligence Supported Programming Learning: Learning Effectiveness and Core Competence.,"The programming curriculum is crucial in today's digital age, but a common issue is its focus on technical training while neglecting essential skills enhancement. Teachers lack structured and practical guidance on instructional methods, and the wide range of students' foundational abilities makes it difficult to cater to personalized learning needs. The advent of Generative Artificial Intelligence (GAI) technology has brought significant changes to education, with its personalized dialogue features offering effective technical support to address these challenges in programming education. This study develops a GAI-supported programming learning approach, applied in a programming course at a vocational school in China, to investigate the effects of various learning approaches on students' learning outcomes, motivation, self-efficacy, and 5C competencies among different learning styles. The study involved 46 learners in the experimental group using GAI-assisted learning and 46 in the con","Li, Hao-Jun and Huang, Qin-Ru and Wen, Li-Peng and Chen, Wei and Xu, Zhuo-Zhuo",Generative artificial intelligence; Computer programming education; Cognitive styles; Occupational training; Effective teaching; Core competencies; Academic motivation; Individualized instruction; China; Vocational Rehabilitation Services; Custom Computer Programming Services; Computer systems design and related services (except video game design and development); Other Computer Related Services,2025,SAGE Open,,https://research.ebsco.com/plink/1f09ed9f-a6cb-3c8e-bae5-cffc4c11ddad,15,3,1-20,2158-2440,academicsearchultimate
Sustainable Urban Mobility: Leveraging Generative AI for Symmetry-Aware Traffic Light Optimization.,"Urban intersections are critical nodes where traffic congestion and energy inefficiency converge. Traditional signal control systems often optimize either mobility or sustainability, creating an asymmetry between flow efficiency and environmental impact. This study introduces a symmetry-aware generative optimization framework that leverages Generative Artificial Intelligence (GAI) to balance both dimensions. Using the microscopic simulator SUMO, we modeled a signalized intersection in Colima, Mexico, under five control strategies: Fixed Time (baseline), GPT-4o, GPT-5 Thinking, Gemini 2.5 Pro, and DeepSeek V3. Each Large Language Model (LLM) received structured simulation data and generated new phase-duration configurations to minimize queue length, travel time, and CO<sub>2</sub> emissions while improving average speed. Step-level performance was evaluated using descriptive statistics, and Wilcoxon signed-rank tests paired with Holm–Bonferroni correction. Results show that all LLM-bas","Santana-Mancilla, Pedro C. and Guerrero-Ibáñez, Antonio and Contreras-Castillo, Juan and García-Mancilla, Jesús and Anido-Rifón, Luis","Generative artificial intelligence; Sustainable transportation; Traffic flow; Carbon dioxide mitigation; Mathematical optimization; Language models; Traffic engineering; City traffic; Colima (Colima, Mexico); Engineering Services",2025,Symmetry (20738994),,https://research.ebsco.com/plink/ed5d21a3-43df-329d-acf8-ed8aeef11892,17,12,2083-null,2073-8994,academicsearchultimate
Beyond Hype: Empirical Evidence and Guidelines on Generative AI in Qualitative Analysis.,"Objective: this article explores the integration of generative artificial intelligence (GAI) into qualitative research, comparing its results with human-led analysis and traditional AI techniques. It provides empirical evidence on the strengths and limitations of GAI in thematic analysis while addressing ethical concerns and research integrity. Theoretical approach: the study situates itself within the debate on GAI in qualitative research, weighing utilitarian arguments such as efficiency and scalability against ethical concerns, such as the loss of human interpretive depth. It extends discussions on human-machine collaboration by incorporating a three-way comparison: human analysts, traditional AI (e.g., topic modeling), and GAI. Method: a qualitative secondary analysis (QSA) compares human-led analysis, traditional AI, and GAI using a dataset on women's participation in the game development industry, aligning with Sustainable Development Goal (SDG) 5 on gender equality. The study e","Marcolin, Carla Bonato and Behr, Ariel and Silveira, Carolina Coelho da and Giovannetti, Victória Eugênia Grise",Generative artificial intelligence; Qualitative research; Gender inequality; Thematic analysis; Professional competence; Ethical problems; Research integrity; Cooperative research,2025,RAC: Revista de Administração Contemporânea,,https://research.ebsco.com/plink/c68fe2b9-ae64-39b4-906b-82170853918b,29,6,1-18,1415-6555,academicsearchultimate
Evaluación de documental educativo con IAG utilizando prompt engineering.,"The study explores the use of generative artificial intelligence (GAI) in evaluating educational audiovisual material, focusing on the documentary NOMADS, produced at the Cabo de la Huerta Secondary School in Alicante, Spain, as part of an Erasmus+ project on human rights. A multi-agent system was developed using prompt engineering (PE) techniques in ChatGPT 4.0, aiming for a multidimensional evaluation of the documentary based on key performance indicators. The methodology is grounded in semiotic engineering, a discipline that analyzes human-computer interaction. The process comprises four phases and incorporates a variant of the Delphi method, a structured technique for achieving expert consensus. In the first phase, PE generates evaluation metrics. Then, expert agent profiles are defined. The third phase models the iteration of prompts to gather evaluations, and the final phase involves the statistical validation of results. Adaptive interaction factors are introduced as tools to m","Miguel Suárez-Martínez, José and Arnau Roselló, Roberto and Nieto-González, Rubén",Generative artificial intelligence; Transmedia storytelling; Delphi method; Audiovisual education; Multiagent systems,2025,Comunicar,,https://research.ebsco.com/plink/28c4e55c-1e33-3cff-b5ae-f73f841c1247,33,82,90-102,1134-3478,academicsearchultimate
How generative AI reconfigure clinician–AI and clinician–patient relationships.,"The article focuses on the transformative integration of generative artificial intelligence (GAI), particularly large language models (LLMs) like DeepSeek, into clinical settings and its implications for healthcare relationships and regulation. It describes a shift from AI as a passive tool to a cognitive collaborator actively participating in the clinician-led chain-of-thought (CoT) during clinical reasoning and decision-making. Additionally, GAI systems increasingly interact directly with patients, creating new triadic relationships among clinicians, AI, and patients that affect explanation, trust, and responsibility. The article emphasizes the need for nuanced regulatory frameworks to clarify roles, decision-making authority, and liability across these evolving clinician–AI–patient configurations.","Shen, Tianyi and Wang, Xinru and Zhang, Yajuan and Zhang, Yi",Generative artificial intelligence; Physician-patient relations; Medical ethics; Digital health; Language models; Clinical decision making; Artificial intelligence & ethics,2026,Clinical & Translational Medicine,,https://research.ebsco.com/plink/83100da8-3d40-31fd-98ea-be360748dba3,16,2,1-4,2001-1326,academicsearchultimate
Social Risks in the Era of Generative AI.,"Generative AI (GAI) technologies have demonstrated human‐level performance on a vast spectrum of tasks. However, recent studies have also delved into the potential threats and vulnerabilities posed by GAI, particularly as they become increasingly prevalent in sensitive domains such as elections and education. Their use in politics raises concerns about manipulation and misinformation. Further exploration is imperative to comprehend the social risks associated with GAI across diverse societal contexts. In this panel, we aim to dissect the impact and risks posed by GAI on our social fabric, examining both technological and societal perspectives. Additionally, we will present our latest investigations, including the manipulation of ideologies using large language models (LLMs), the potential risk of AI self‐consciousness, the application of Explainable AI (XAI) to identify patterns of misinformation and mitigate their dissemination, as well as the influence of GAI on the quality of publi","Liu, Xiaozhong and Lin, Yu‐Ru and Jiang, Zhuoren and Wu, Qunfang",Generative artificial intelligence; Task performance; Misinformation; Social context; Language models,2024,Proceedings of the Association for Information Science & Technology,,https://research.ebsco.com/plink/de408c19-d3d4-3e4c-a879-7710cd135ed5,61,1,790-794,2373-9231,academicsearchultimate
A Systematic Literature Review on the Pedagogical Implications and Impact of GenAI on Students' Critical Thinking.,"Critical Thinking (CT) is recognized as a foundational competency for professional readiness, innovation, and ethical reasoning in higher education, enabling students to analyze information, evaluate evidence, and make reasoned decisions in complex environments. The rapid integration of Generative Artificial Intelligence (GenAI) tools, such as large language models, presents new opportunities and risks for CT development. This study conducts a systematic literature review to synthesize empirical evidence on the pedagogical implications and cognitive impact of GenAI on students' CT. Following PRISMA guidelines, and search terms around GenAI Tools, Critical Thinking And Higher Education, on five major education research databases—Web of Science; Scopus; EBSCOhost (Education Source, ERIC, and APA PsycInfo); and Compendex and Inspec (Elsevier)—63 empirical studies published between January 2023 and April 2025 were analyzed across higher education contexts, disciplines, and intervention de","Balart, Trini and Díaz, Brayan and Shryock, Kristi",Generative artificial intelligence; Critical thinking; Educational technology; Psychological factors; Teaching methods; Student engagement; Higher education; Artificial intelligence,2026,Algorithms,,https://research.ebsco.com/plink/ee1e2e5e-2f6c-35d7-83ae-d249a1b7c933,19,3,179-null,1999-4893,academicsearchultimate
Generative artificial intelligence and urban transport resilience: Rethinking sustainable mobility,"Urban transport systems face compounding shocks, cascading failures, and rapid context shifts that challenge conventional artificial intelligence (AI) tools designed for structured inputs and stable data regimes. Generative artificial intelligence (GAI) expands disruption management by enabling interaction with heterogeneous information, evidence-grounded synthesis, scenario generation under deep uncertainty, and decision support. This review maps the emerging field and clarifies how GAI can strengthen urban transport resilience while introducing new safety-critical risks. We first conduct a dual-corpus bibliometric analysis of Web of Science Core Collection (2016–2025), covering 1670 AI and resilience publications and a 114-paper GAI subset. We then develop a phase-linked framework that connects four GAI roles — information extraction, knowledge integration, scenario generation, and decision support — to the resilience phases of absorption, adaptation, recovery, and transformation. Synthesising empirical studies across transport operations, planning, and Earth observation (EO) and remote-sensing vision-language model (VLM)–large language model (LLM) pipelines, we find that current evidence is strongest at the capability level, whereas phase-specific transport impacts are less routinely quantified under real operational constraints. Finally, we translate these gaps into an agenda for evaluation and governance, emphasising reliability and uncertainty communication, cybersecurity, data governance and interoperability, and equity-oriented public value.",Jinran Wu and Xin Tian and Qingyang Liu and Tong Li and Chanjuan Liu and Jing Xu and Huida Zhao,"Generative artificial intelligence, Large language models, Transport resilience, Urban governance, Disaster risk management, Smart cities",2026,Safety Science,https://doi.org/10.1016/j.ssci.2026.107148,https://www.sciencedirect.com/science/article/pii/S0925753526000391,198,,107148,0925-7535,sciencedirect
Role of Generative Artificial Intelligence in Assisting Systematic Review Process in Health Research: A Systematic Review,"Objectives
Artificial intelligence (AI) is widely used in healthcare for various purposes, with generative AI (GAI) increasingly being applied to systematic review (SR) processes. We aimed to summarize the evidence on the performance metrics of GAI in the SR process.
Methods
PubMed, EMBASE, Scopus, and ProQuest Dissertations & Theses Global were searched from their inception up to March 2025. Only experimental studies that compared GAI with other GAIs or human reviewers at any stage of the SR were included. Modified Quality Assessment of Diagnostic Accuracy Studies version 2 was used to assess the quality of the studies that used GAI in the study selection process. We summarized the findings of the included studies using a narrative approach.
Results
Out of 7418 records screened, 30 studies were included. These studies used GAI tools such as ChatGPT, Bard, and Microsoft Bing AI. GAI appears to be effective for participant, intervention, comparator, and outcome formulation and data extraction processes, including complex information. However, because of inconsistent reliability, GAI is not recommended for literature search and study selection as it may retrieve nonrelevant articles and yield inconsistent results. There was mixed evidence on whether GAI can be used for risk of bias assessment. Studies using GAI for study selection were generally of high quality based on the modified Quality Assessment of Diagnostic Accuracy Studies version 2.
Conclusions
GAI shows promising support in participant, intervention, comparator, and outcome-based question formulation and data extraction. Although it holds potential to enhance the SR process in healthcare, further practical application and validated evidence are needed before it can be fully integrated into standard workflows.",Muhammed Rashid and Cheng Su Yi and Thipsukhon Sathapanasiri and Sariya Udayachalerm and Kansak Boonpattharatthiti and Suppachai Insuk and Sajesh K. Veettil and Nai Ming Lai and Nathorn Chaiyakunapruk and Teerapon Dhippayom and Muhammed Rashid and Su Yi Cheng and Thipsukhon Sathapanasiri and Sariya Udayachalerm and Kansak Boonpattharatthiti and Suppachai Insuk and Sajesh K. Veettil and Nai Ming Lai and Nathorn Chaiyakunapruk and Teerapon Dhippayom and Suwapat Lawin and Pongsapat Limhensin and Kirana Wechkunanukul and Noramon Mayang and Natnicha Rattanachaisit and Xiangyang Ye,"artificial intelligence, evidence synthesis, GPT, healthcare, systematic review",2025,Value in Health,https://doi.org/10.1016/j.jval.2025.07.001,https://www.sciencedirect.com/science/article/pii/S1098301525024325,28,11,1665-1682,1098-3015,sciencedirect
Factors influencing disinformation avoidance behavior among generative artificial intelligence users: A cognition-affect-conation framework,"This study aimed to uncover the mechanisms driving disinformation avoidance behavior among generative artificial intelligence users to reduce negative impacts and support sustainable use. Using the cognition-affect-conation framework and heuristic-systematic model, this study analyzed 769 valid responses through covariance-based structural equation modeling and fuzzy-set qualitative comparative analysis. The results showed that perceived risk and information hallucination heightened artificial intelligence disinformation anxiety, while perceived mind and performance efficacy enhanced affective commitment. Artificial intelligence disinformation anxiety facilitated disinformation avoidance behavior, whereas affective commitment reduced it. Systematic cues, such as information hallucination and performance efficacy, proved more influential than heuristic cues, such as perceived risk and perceived mind. Psychological resilience directly affected disinformation avoidance behavior and also moderated the relationships between artificial intelligence disinformation anxiety, affective commitment, and disinformation avoidance behavior. Four pathways leading to disinformation avoidance behavior were identified, highlighting substitutability effects among perceived risk, information hallucination, and perceived mind. These substitutability effects were observed under specific configurational conditions identified through fuzzy-set qualitative comparative analysis. They should be interpreted within the scope of this study rather than as universally generalizable. This study advances the literature on generative artificial intelligence user behavior by shifting the focus from proactive to defensive perspectives. It embeds the heuristic-systematic model into the cognition-affect-conation framework to capture the interplay between cognitive and affective processes. Practical recommendations are provided for generative artificial intelligence developers to reduce avoidance behaviors, rebuild user trust, and promote the sustainable development of generative artificial intelligence.",Tingyong Zhang and Junping Qiu and Zhongyang Xu,"Generative artificial intelligence, Disinformation avoidance behavior, Cognition-affect-conation framework, Psychological resilience, Substitutability effects",2026,Acta Psychologica,https://doi.org/10.1016/j.actpsy.2026.106907,https://www.sciencedirect.com/science/article/pii/S0001691826007080,266,,106907,0001-6918,sciencedirect
Generative artificial intelligence for heart sound analysis: From model architectures to clinical applications,"Cardiac auscultation involves listening to heart sounds to diagnose cardiac conditions. Accurate interpretation of these sounds requires considerable experience, which limits consistency among clinicians and across settings. Although deep learning offers a path toward automation, data scarcity, class imbalance, and signal complexity pose challenges for its application to heart sound analysis. This study presents a pioneering comprehensive examination of how generative artificial intelligence (generative AI) models, including generative adversarial networks, variational autoencoders, diffusion models, and transformer-based architectures, can address key challenges in heart sound analysis. Specifically, these models mitigate core limitations by synthesizing high-fidelity heart sound signals for data augmentation, improving signal quality through advanced denoising, and enabling semi-supervised and unsupervised detection of rare pathological conditions. In addition, we discuss their roles in advanced feature learning and cross-modal translation. Despite notable progress, we highlight future challenges, including ensuring physiological fidelity, enhancing model interpretability, and validating clinical utility. In conclusion, generative AI addresses a key translational challenge by enabling accessible, accurate, and scalable expert cardiac evaluation, thereby supporting the implementation of precision cardiology.",Mahmoud Fakhry and Abeer FathAllah Brery,"First study, Cardiac auscultation, Heart sound signals, Phonocardiogram recordings, Generative artificial intelligence",2026,Intelligent Systems with Applications,https://doi.org/10.1016/j.iswa.2026.200637,https://www.sciencedirect.com/science/article/pii/S2667305326000128,29,,200637,2667-3053,sciencedirect
